	-19,80	1,48407635	
	-19,09	1,80549731	
	-18,38	2,09996179	
	-17,68	2,62365158	
	-16,97	3,21887473	
	-16,26	4,00966256	
	-15,56	5,03324737	
	-14,85	7,43060392	
	-14,14	47,82583799	
	-13,43	89,91705287	
	-12,73	94,55438092	
	-12,02	96,59550619	
	-11,31	97,80866882	
	-10,61	98,66450847	
	-9,90	99,59828941	
	-9,19	99,99408249	
	-8,49	100,24980635	
	-7,78	100,57389837	
	-7,07	100,83375907	
	-6,36	100,90392933	
	-5,66	101,02158804	
	-4,95	100,49118215	
	-4,24	100,32726504	
	-3,54	100,19458335	
	-2,83	100,08551693	
	-2,12	100,16124716	
	-1,41	99,89955697	
	0,00	100,00000000	
	1,41	100,42461421	
	2,12	100,93497599	
	2,83	101,36537236	
	3,54	101,48669578	
	4,24	101,61441248	
	4,95	102,15012005	
	5,66	102,29659590	
	6,36	102,38311765	
	7,07	102,27725331	
	7,78	102,13918578	
	8,49	102,06695620	
	9,19	101,55266153	
	9,90	101,09264196	
	10,61	100,54482649	
	11,31	99,61915956	
	12,02	98,49734187	
	12,73	96,86879338	
	13,43	93,58175342	
	14,14	69,55760173	
	14,85	9,73256364	
	15,56	5,32256567	
	16,26	4,16551268	
	16,97	3,35416418	
	17,68	2,75194708	
	18,38	2,24648609	
	19,09	1,71578302	
	19,80	1,44495054	
	20,51	1,41249714	
	21,21	1,27725858	
	21,92	1,04700019	
	22,63	0,92680178	
